name,body_part,equipment,movement_type,difficulty,met_value,goal_tags,muscles_primary,is_compound,in_global_exercises
Ab Wheel Rollout,Core,Bodyweight,Isolation,Advanced,5.5,Strength,Rectus Abdominis|Transverse Abdominis,false,true
Ab Wheel Rollout Variations,Core,Bodyweight,Isolation,Advanced,6,Muscle Gain,,false,false
Agility Ladder Drills,Full Body,Agility Ladder,Pre Workout,Advanced,10.5,Fat Loss,,false,false
Alternating Side Lunges,Legs,Bodyweight,Pre Workout,Intermediate,5,Muscle Gain,,false,false
Ankle Rotations,Ankles,Bodyweight,Pre Workout,Beginner,1.5,Strength,,false,false
Arm Circles,Shoulders,Bodyweight,Pre Workout,Beginner,2.5,Strength,,false,false
Arnold Press,Shoulders,Dumbbell,Compound,Intermediate,5,Muscle Gain|Strength|Fat Loss,Anterior Deltoid|Lateral Deltoid,true,true
Assault Bike Sprint,Full Body,Machine,Compound,Advanced,14,Fat Loss,Full Body,true,true
Assisted Pull-Up,Back,Machine,Compound,Beginner,4.5,Fat Loss|Muscle Gain,Lats,true,true
Band Resisted Hip Flexion,Hips,Resistance Band,Pre Workout,Advanced,4.5,Muscle Gain,,false,false
Banded Pull-Aparts,Shoulders,Resistance Band,Pre Workout,Intermediate,3.5,Muscle Gain,,false,false
Barbell 21s,Arms,Barbell,Isolation,Advanced,4.5,Strength,Biceps Brachii,false,true
Barbell Back Squat,Legs,Barbell,Compound,Intermediate,6,Muscle Gain|Strength,Quadriceps|Glutes,true,true
Barbell Bench Press,Chest,Barbell,Compound,Intermediate,5,Muscle Gain|Strength,Pectoralis Major,true,true
Barbell Bent-Over Row,Back,Barbell,Compound,Advanced,6.5,Fat Loss,,true,false
Barbell Clean and Press,Full Body,Barbell,Compound,Advanced,9,Muscle Gain,Full Body,true,true
Barbell Complex,Full Body,Barbell,Compound,Advanced,10,Fat Loss,,true,false
Barbell Curl,Arms,Barbell,Isolation,Intermediate,3.5,Muscle Gain|Strength,Biceps Brachii,false,true
Barbell Front Squat,Full Body,Barbell,Compound,Advanced,7.5,Muscle Gain,Quadriceps,true,true
Barbell Hang Clean,Full Body,Barbell,Compound,Intermediate,8,Muscle Gain,Traps|Glutes|Hamstrings,true,true
Barbell Heavy Calf Raise,Calves,Barbell,Isolation,Advanced,4,Strength,,false,false
Barbell Hip Thrust,Legs,Barbell,Isolation,Advanced,5,Muscle Gain,Glutes,false,true
