id,exercise_name,body_part,type,equipment,difficulty,met_value,goal_tag,sets_recommended,reps_recommended,rest_time_sec,recommended_weight_kg,video_url
123,Ab Wheel Rollout,Core,Isolation,Bodyweight,Advanced,5.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
216,Ab Wheel Rollout Variations,Core,Isolation,Bodyweight,Advanced,6,Muscle Gain,4,8-12,75,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
343,Agility Ladder Drills,Full Body,Pre Workout,Agility Ladder,Advanced,10.5,Fat Loss,4,3 patterns x 10 meters,30,Bodyweight,https://www.youtube.com/watch?v=agility-ladder-drills
326,Alternating Side Lunges,Legs,Pre Workout,Bodyweight,Intermediate,5,Muscle Gain,3,12 each side,20,Bodyweight,https://www.youtube.com/watch?v=alternating-side-lunges
307,Ankle Rotations,Ankles,Pre Workout,Bodyweight,Beginner,1.5,Strength,2,10 each direction per ankle,10,Bodyweight,https://www.youtube.com/watch?v=ankle-rotations
293,Arm Circles,Shoulders,Pre Workout,Bodyweight,Beginner,2.5,Strength,2,20 each direction,15,Bodyweight,https://www.youtube.com/watch?v=arm-circles
274,Arnold Press,Shoulders,Compound,Dumbbell,Advanced,6,Fat Loss,4,12-15,45,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
89,Arnold Press,Shoulders,Compound,Dumbbell,Intermediate,5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
90,Arnold Press,Shoulders,Compound,Dumbbell,Intermediate,4.8,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
331,Assault Bike Intervals,Full Body,Pre Workout,Assault Bike,Advanced,14,Fat Loss,5-6,30 sec all-out / 30 sec easy,30,Bodyweight,https://www.youtube.com/watch?v=assault-bike-intervals
244,Assault Bike Sprint,Full Body,Compound,Machine,Advanced,14,Fat Loss,6,30 sec,30,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
17,Assisted Pull-Up,Back,Compound,Machine,Beginner,4.5,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
